Code_agent;NUK;Date_of_sale;Policy_number;Policy_status;Period_type_code;Type_of_periodicity;Periodicity_code;Periodicity;Region_code;Business_line;Insurance_premium
56399020;1007;07.08.2022;I000KCICXZ;20;D;Периодическая оплата;12;Годовая;56399;НСиБ;-0.18
52899096;5545;21.01.2022;I000KCZCRC;20;D;Периодическая оплата;12;Годовая;52899;НСиБ;-0.26
171601008;11548;17.04.2022;I000KIZRZI;20;D;Периодическая оплата;12;Годовая;171601;НСиБ;-0.24
56499006;2938;07.05.2022;I000KXC0BI;20;D;Периодическая оплата;12;Годовая;56499;НСиБ;-0.09
52899103;3519;20.09.2022;I000KYBIZW;20;D;Периодическая оплата;12;Годовая;52899;НСиБ;-0.08
171601008;11548;02.03.2022;I000KZ0W0I;20;D;Периодическая оплата;12;Годовая;171601;НСиБ;-0.17
171601008;11548;16.07.2022;I000KZ0W0W;20;D;Периодическая оплата;12;Годовая;171601;НСиБ;-0.11
52820011;5458;26.04.2022;K00YZBZWKB;20;D;Периодическая оплата;12;Годовая;52820;НСиБ;41.18
56499008;2556;26.12.2022;W000BZ0BIW;20;D;Периодическая оплата;1;Ежемесячная;56499;НСиБ;-0.06
55499040;7080;15.03.2022;W000BZ0CRY;20;D;Периодическая оплата;12;Годовая;55499;НСиБ;-0.09
88899016;15137;12.07.2022;W000BZ0XRK;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;55.2
56401007;5392;04.09.2022;W000BZ0YKI;20;D;Периодическая оплата;1;Ежемесячная;56401;НСиБ;-0.09
135799005;20875;01.02.2022;W000BZXI0K;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;-0.06
135799005;20875;13.08.2022;W000BZXWIB;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;-0.03
109199015;190206;16.02.2022;W000BZXWWB;20;D;Периодическая оплата;1;Ежемесячная;109199;НСиБ;-0.03
88899008;15166;25.02.2022;W000KKRZZZ;20;D;Периодическая оплата;12;Годовая;88899;НСиБ;-0.19
55403014;874;17.03.2022;W000KR0Z0B;20;D;Периодическая оплата;12;Годовая;55403;НСиБ;0.14
52899100;917;12.11.2022;X0B0RXX;20;D;Периодическая оплата;6;Полугодовая;52899;НСЖ;0.04
311424002;15616;10.03.2022;X0BBB00;20;D;Периодическая оплата;6;Полугодовая;311424;НСЖ;0
52899100;917;01.02.2022;X0BCWKK;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;-0.07
311419002;15815;20.09.2022;X0BK0XB;20;D;Периодическая оплата;12;Годовая;311419;НСЖ;0.38
160599026;8503;11.09.2022;X0BKW0C;20;D;Периодическая оплата;1;Ежемесячная;160599;НСЖ;21217
160599025;9708;04.09.2022;X0BKWCB;20;D;Периодическая оплата;12;Годовая;160599;НСЖ;-2.44
